N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	nar	phu	tang	xtang	x
1	2	T	ᴬ	_U	¹,X,ᴴ	¹	¹,X,ᴴ	¹,ᴴ	¹,ᴴ,X	¹,X,ᴴ	¹,X	¹	⁵⁴,⁴³,⁵³	?	X	ᴴ	x
2	2	T	ᴮ	_U	²,X,ᴴ	²	²,X,ᴴ	²,ᴴ	²,ᴴ,X	²,X,ᴴ	²,X	²	⁵⁵,⁴⁵	?	X	ᴴ	x
3	2	T	ᴬ	_W	³,X,ᴸ	³	³,X	³	³,X	³,X,ᴸ	³,X	³	²¹,¹¹	?	X	ᴸ	x
4	2	T	ᴮ	_W	⁴,X,ᴸ	⁴	⁴,X,ᴴ	⁴	⁴,ᴴ,X	⁴,X,ᴸ	⁴,X	⁴	¹²,¹³	?	X	ᴸ	x
5	1	R,V	i		i	i	i	i	i	i	i	i	ɪ	ɪ=ẹ	i	?	x
6	1	R	iː		iː	iː	iː	i	i	i	i	i	iː	iː	i	?	x
7	1	R	ik		ik	iː,ik	iː	i	ɤi	ɨ	i	i	iː	i,iː	i	?	x
8	1	R	it		it	it,iː,ip	iː,i	i	it,i	?	i,iː	iː	?	?	i	?	x
9	1	R	ip		ip	ip	ip	i	?	?	?	i	?	?	ip	?	x
10	1	R	is		is	is	is	is	is	is	i	i	i=iː	i	is	is	x
11	1	R	iŋ		iŋ	iŋ	iŋ	in	in	in,im,un	ĩ	ĩ	iŋ=ɯŋ	iŋ,ĩ,ɯŋ	iŋ	?	x
12	1	R	in		in	in	in	in	in	in	ĩ	ĩ,in	in	in	iŋ	?	x
14	1	R	im		im	im,em	im	im	in	im	ĩ	ĩ,in	im	ɪm	im	?	x
15	1	R	ir		ir	ir	ir	ir	?	ir	?	?	?	?	?	?	x
16	1	R	il		il	?	?	i	e,il,ĩl	e	e	ɛr	ilɛ	ɪl	?	?	x
17	1	R	wi		wi	ui,ai	wi	i,ui	wi	wi,i	wi,i	i,ui	wiː,yi=yiː	wi=yi,ɯ	ʷi	?	x
18	1	R	jwi		jwi	i	ju	ju	ju	ju	ju	ju,jy	yi,ju	ju	ju	?	x
19	1	R	uiu		wi	uju	uju	uju	uju	uju	?	?	?	?	uju	?	x
20	1	R,V	e		e	e	e	e	e	e,ja	e	iɛ,ie,eɛ	jɛ	jɛ	e	e	x
21	1	R	eː		eː	eː	eː	e	e,a,i,ʌ	e	i	e	jeː	je,jeː	?	?	x
22	1	R	eː	/kr_	eː	?	eː	e	ʌe	ʌe	e	e	e,eː	eː	?	?	x
23	2	R	eː	/s_	eː	eː	eː=jeː	e	e	?	e	iː	?	?	?	?	x
24	2	R	je		e	e	e	e	i	i	i	ie	jɛ	jɛ	?	?	x
25	1	R	ek		ep,ek	ek	?	e	?	?	?	?	?	?	?	?	x
26	1	R	et		et	et,ep	eː	e,i	e,eʌ,i	e	i,jo	e,eː	je	je,eː	e	?	x
27	1	R	ep		ep	ep	?	əp	o,e	o	aː	e	ou	?	?	?	x
28	1	R	eŋ		eŋ	eŋ	eŋ	en	jaŋ	jaŋ,en	ẽ	jaŋ	jaŋ	?	?	?	x
29	1	R	en		en	eː,en	en	ən	en	en	ẽ	ẽ	?	?	ɛn=en	?	x
30	1	R	em		em	em	?	əm	ʌm	ʌm	aẽ,ẽ	ẽ	ɛm=əm	ɛm	?	?	x
31	1	R	ew		e	e	e	e	u	e	e	e	?	?	?	?	x
32	1	R	er		er	er	er	er	?	?	er	?	?	?	er	?	x
332	1	R	es		eː	?	?	?	?	e	e	e	jeː	je,jeː	er	?	x
33	1	R,V	a		a	a	a	ə	ʌ	ʌ	a	ɤ	æ	ɛ	ə	?	x
34	1	R	aː		aː	aː	aː	a	a	a	o	a=aː	aː	aː=a	a,ɔː	?	x
35	1	R,V	ja		ja	ja	ja	e	e	e,jo,jɛ	e	je	æ,jæ	jɛ,ja	?	?	x
36	1	R	jaː		jaː	jaː	jaː	ja	ja	ja	jo	ja=jaː	?	?	?	?	x
37	1	R,V	wa		wa	wa	wa	o	o	o	o	o	ɔ=o	ɔ	ɑː,o	?	x
38	2	R,V	wa	/tʰ_	o	?	o	o	o	o	u	a	oː	ɔː	?	?	x
39	2	R,V	wa	/s_	wa	a	a,wa	ə	ʌ	o	a	ɤ	ɔ	ɔ	ə=ʌ	ə	x
40	1	R	waː		waː	aː	?	o	?	?	o	?	?	?	o	?	x
41	2	R	waː	/s,tsʰ_	waː	waː,aː	?	o	a	?	o	?	?	?	?	?	x
42	1	R	ai		ai	ai,eː=jeː	ai	ʌi=ʌj,e	əi,e,əe	ʌi,ai,ɛ	ae,we,ai,wi	eː	ɛi	?	?	?	x
43	2	R	ai	/r,t_	ai	ai,eː	ai	e	e	ɛ	e	eː	e,ɛ,eː	?	e	?	x
44	2	R	ai	/tʰ_	ai	eː	eː	e	eʌ,eː	?	eː	?	?	?	?	?	x
45	1	R	jai		jai	?	?	?	?	?	e	jeː	?	?	?	?	x
46	1	R	au		au	?	?	ap	?	?	?	?	?	?	?	?	x
47	1	R	ak		aː,ak	aː,ak	?	a	a	a	?	?	?	?	ak	?	x
48	1	R	at		at	et,e,ep	eː,e	e	e,je,ʌi	e,ʌi	e,ae,aː	e,je,eː	e,eː	e	eʔ,eː	eʔ	x
49	2	R	at	/k_	at	et	eː	əi=əj	ʌe	ʌe	ae	je	e,eː,ᵊe	e	?	?	x
50	1	R	wat		wat	wet	wai	oj,e	?	?	we	?	?	ɛ	?	?	x
51	1	R	ap		ap	ap	ap	əp,əw,a	o	o	aː	e,je	ou,ɔu	oː=ɑː,ɑu	əp=ʌp	əp	x
52	1	R	jap		jap	jap	?	ep,e,jəp	?	jo	jaː	?	jɔu	joː	jəp	?	x
53	1	R	aŋ		aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	õ,ũ	aŋ	aŋ	aŋ,ãː	aŋ	?	x
54	2	R	aŋ	/tʰ_	aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	ãː	aŋ	aŋ	aŋ	?	?	x
55	1	R	an		an	en	an	ən	ʌn	ʌn	aẽ	jɛ̃=jẽ,ẽ	an	ɛn	en	?	x
56	2	R	an	/j,tʰ_	an	en	an	en	an	ɛn	ẽ	e,ẽ	ɛn	ɛn	?	?	x
57	1	R	jan		jan	en	jan	jen	?	jɛn	ẽ	e,jeː	jɛn	jɛn	?	?	x
58	1	R	wan		wan	wen,jen	wan	on	on	on	wẽ	wɛ̃=wẽ	on	on	?	?	x
59	1	R	am		am	am	am	om,əm	ʌm	ʌm	ãẽ,ã,ãː	ən,ẽ,e	am	am	?	?	x
60	1	R	ar		ar	ar	ar	ər,ar	ʌr	ʌr	a,aː,aːra	ɤr	ar,ər	ar	ar,ʌr	?	x
61	1	R	jar		jar	jar	er,jar	jar	ʌr	?	jaː	je,jɤr	?	?	?	?	x
261	2	R	al	/+	ai,al	?	?	?	?	?	?	eː,e	ɛi	al	al	?	x
